# pair_index, img_from, img_to, component_id, start_x, start_y, end_x, end_y, centroid_x, centroid_y, unit_dir_x, unit_dir_y, length_px, angle_rad, size_pixels
0, generated000.png, generated001.png, 1, 487.962, 158.342, 195.521, 632.478, 351.636, 379.369, -0.524962, 0.851125, 557.070, 2.123467, 149925
1, generated001.png, generated002.png, 1, 574.209, -8.018, 607.812, 604.743, 590.618, 291.206, 0.054756, 0.998500, 613.681, 1.516013, 189541
2, generated002.png, generated003.png, 1, 173.393, 200.571, 148.307, 528.253, 160.694, 366.448, -0.076332, 0.997082, 328.641, 1.647203, 31742
3, generated003.png, generated004.png, 1, 774.245, 277.044, 390.789, -16.695, 593.695, 138.737, -0.793850, -0.608114, 483.034, -2.487910, 94917
4, generated004.png, generated005.png, 1, 357.281, 321.653, 214.646, 345.918, 285.987, 333.781, -0.985837, 0.167709, 144.685, 2.973088, 14384
5, generated005.png, generated006.png, 1, 303.496, 556.648, 27.146, 455.329, 164.549, 505.705, -0.938886, -0.344228, 294.338, -2.790177, 37607
6, generated006.png, generated007.png, 1, 713.917, 153.088, 616.908, 61.845, 665.046, 107.122, -0.728420, -0.685131, 133.177, -2.386810, 12162
7, generated007.png, generated008.png, 1, 436.972, 259.211, 355.950, 259.600, 399.701, 259.390, -0.999988, 0.004806, 81.023, 3.136787, 1684
8, generated008.png, generated009.png, 1, 717.406, 273.336, 496.023, 373.142, 618.510, 317.921, -0.911639, 0.410992, 242.840, 2.718050, 13229
9, generated009.png, generated010.png, 1, 51.906, 108.743, 54.358, 450.954, 53.141, 281.071, 0.007165, 0.999974, 342.220, 1.563631, 35990
10, generated010.png, generated011.png, 1, 578.117, 550.486, 374.264, 384.533, 476.437, 467.710, -0.775514, -0.631330, 262.862, -2.458325, 29253
11, generated011.png, generated012.png, 1, 460.010, 14.734, 641.896, 256.348, 550.681, 135.181, 0.601428, 0.798927, 302.423, 0.925509, 43465
12, generated012.png, generated013.png, 1, 163.001, 83.005, 24.796, 113.060, 93.579, 98.102, -0.977162, 0.212496, 141.436, 2.927464, 12249
13, generated013.png, generated014.png, 1, 373.663, 316.321, 395.985, 600.923, 385.645, 469.090, 0.078194, 0.996938, 285.476, 1.492523, 25122
14, generated014.png, generated015.png, 1, 410.505, 71.595, 149.157, 199.959, 271.634, 139.803, -0.897579, 0.440854, 291.170, 2.685043, 10632
15, generated015.png, generated016.png, 1, 166.577, 562.355, 67.945, 549.416, 120.580, 556.321, -0.991505, -0.130072, 99.477, -3.011151, 6391
16, generated016.png, generated017.png, 1, 601.555, 87.613, 657.702, 168.207, 629.401, 127.583, 0.571626, 0.820514, 98.224, 0.962310, 3335
17, generated017.png, generated018.png, 1, 426.950, 50.725, 202.922, 91.573, 317.877, 70.613, -0.983780, 0.179380, 227.721, 2.961237, 15902
18, generated018.png, generated019.png, 1, 544.924, 325.072, 307.223, 415.225, 417.857, 373.265, -0.935010, 0.354621, 254.223, 2.779084, 9992
19, generated019.png, generated020.png, 1, 383.861, 258.140, 207.585, 321.767, 297.167, 289.432, -0.940603, 0.339509, 187.408, 2.795198, 16236
20, generated020.png, generated021.png, 1, 286.980, 485.190, 162.996, 367.835, 217.788, 419.698, -0.726256, -0.687424, 170.717, -2.383656, 8085
21, generated021.png, generated022.png, 1, 753.372, 325.290, 649.219, 344.842, 702.604, 334.821, -0.982833, 0.184499, 105.972, 2.956031, 6152
22, generated022.png, generated023.png, 1, 428.763, 168.205, 226.901, 234.663, 327.567, 201.521, -0.949848, 0.312712, 212.520, 2.823545, 17233
23, generated023.png, generated024.png, 1, 744.686, 303.263, 668.092, 493.493, 702.772, 407.361, -0.373499, 0.927631, 205.070, 1.953574, 13207
24, generated024.png, generated025.png, 1, 177.825, 79.813, 198.243, 279.384, 187.652, 175.868, 0.101774, 0.994808, 200.613, 1.468846, 7754
25, generated025.png, generated026.png, 1, 530.849, 573.058, 411.250, 511.456, 473.258, 543.395, -0.889004, -0.457900, 134.532, -2.665961, 9834
26, generated026.png, generated027.png, 1, 754.573, 251.889, 621.877, 287.288, 693.548, 268.168, -0.966211, 0.257753, 137.336, 2.880897, 6266
27, generated027.png, generated028.png, 1, 155.844, 143.362, 131.997, 373.482, 143.456, 262.901, -0.103076, 0.994673, 231.352, 1.674056, 7658
28, generated028.png, generated029.png, 1, 566.357, 593.191, 499.134, 569.235, 527.856, 579.471, -0.941974, -0.335685, 71.364, -2.799260, 2076
29, generated029.png, generated030.png, 1, 304.316, 310.639, 244.950, 327.826, 274.750, 319.198, -0.960555, 0.278089, 61.805, 2.859789, 2238
31, generated031.png, generated032.png, 1, 557.352, 163.611, 513.105, 123.569, 535.307, 143.661, -0.741455, -0.671003, 59.675, -2.406032, 1964
32, generated032.png, generated033.png, 1, 317.958, 278.747, 347.610, 348.742, 332.564, 313.224, 0.390070, 0.920785, 76.016, 1.170089, 2837
34, generated034.png, generated035.png, 1, 102.371, 19.138, 81.725, 74.525, 92.131, 46.609, -0.349300, 0.937011, 59.109, 1.927620, 2124
35, generated035.png, generated036.png, 1, 393.300, 420.795, 298.844, 416.222, 342.723, 418.347, -0.998830, -0.048361, 94.567, -3.093213, 2023
36, generated036.png, generated037.png, 1, 492.034, 74.912, 432.301, 51.808, 461.736, 63.194, -0.932667, -0.360737, 64.046, -2.772534, 2159
37, generated037.png, generated038.png, 1, 142.384, 2.965, 151.237, 100.979, 146.628, 49.956, 0.089958, 0.995946, 98.412, 1.480717, 4102
38, generated038.png, generated039.png, 1, 120.123, 437.952, 69.448, 388.566, 94.597, 413.075, -0.716154, -0.697943, 70.759, -2.369072, 2200
39, generated039.png, generated040.png, 1, 249.853, 222.089, 195.130, 335.159, 222.679, 278.236, -0.435634, 0.900124, 125.616, 2.021539, 5075
40, generated040.png, generated041.png, 1, 739.011, 547.550, 616.221, 582.770, 683.365, 563.511, -0.961241, 0.275708, 127.741, 2.862266, 7237
41, generated041.png, generated042.png, 1, 592.839, 49.774, 491.918, 64.435, 542.889, 57.030, -0.989613, 0.143755, 101.980, 2.997338, 6456
42, generated042.png, generated043.png, 1, 257.655, 242.743, 198.662, 253.069, 228.110, 247.914, -0.985024, 0.172417, 59.890, 2.968310, 2456
43, generated043.png, generated044.png, 1, 106.054, 590.257, -0.051, 589.407, 49.729, 589.806, -0.999968, -0.008015, 106.109, -3.133578, 1524
45, generated045.png, generated046.png, 1, 87.161, 577.915, -3.195, 564.473, 39.409, 570.811, -0.989114, -0.147153, 91.350, -2.993903, 4424
46, generated046.png, generated047.png, 1, 723.581, 58.032, 735.922, 167.475, 729.280, 108.571, 0.112049, 0.993703, 110.136, 1.458511, 4080
47, generated047.png, generated048.png, 1, 316.725, 154.345, 261.769, 196.701, 288.694, 175.949, -0.792055, 0.610450, 69.384, 2.484964, 1306
