# pair_index, img_from, img_to, component_id, start_x, start_y, end_x, end_y, centroid_x, centroid_y, unit_dir_x, unit_dir_y, length_px, angle_rad, size_pixels
0, generated000.png, generated001.png, 1, 320.697, -75.154, -29.687, 537.008, 157.548, 209.886, -0.496756, 0.867890, 705.345, 2.090653, 146062
1, generated001.png, generated002.png, 1, 489.497, 110.156, 194.564, 632.173, 352.528, 352.584, -0.491905, 0.870649, 599.572, 2.085072, 168339
2, generated002.png, generated003.png, 1, 587.844, -5.384, 605.423, 598.182, 596.544, 293.309, 0.029113, 0.999576, 603.821, 1.541679, 175957
3, generated003.png, generated004.png, 1, 258.241, 228.032, 54.497, 622.171, 153.197, 431.238, -0.459207, 0.888329, 443.686, 2.047899, 88731
4, generated004.png, generated005.png, 1, 486.783, -41.935, 761.314, 385.084, 616.524, 159.871, 0.540784, 0.841162, 507.653, 0.999428, 93931
5, generated005.png, generated006.png, 1, 604.014, 181.127, 212.690, 223.831, 422.433, 200.942, -0.994098, 0.108482, 393.647, 3.032897, 48086
6, generated006.png, generated007.png, 1, 388.922, 563.827, 60.515, 542.908, 209.879, 552.422, -0.997977, -0.063569, 329.072, -3.077980, 26243
7, generated007.png, generated008.png, 1, 751.907, 283.363, 518.806, 258.843, 637.559, 271.335, -0.994513, -0.104609, 234.387, -3.036791, 15884
8, generated008.png, generated009.png, 1, 230.475, 299.683, 20.543, 231.332, 119.950, 263.698, -0.950869, -0.309594, 220.779, -2.826827, 7781
9, generated009.png, generated010.png, 1, 354.674, 438.961, 461.485, 595.037, 410.183, 520.074, 0.564764, 0.825252, 189.125, 0.970649, 14831
10, generated010.png, generated011.png, 1, 166.244, 197.439, 103.072, 438.119, 133.588, 321.855, -0.253874, 0.967237, 248.832, 1.827480, 27742
11, generated011.png, generated012.png, 1, 709.051, 517.811, 472.919, 515.875, 593.942, 516.867, -0.999966, -0.008199, 236.140, -3.133394, 23886
12, generated012.png, generated013.png, 1, 749.272, 89.399, 337.916, 85.186, 532.558, 87.179, -0.999948, -0.010240, 411.378, -3.131352, 30147
13, generated013.png, generated014.png, 1, 385.758, 355.688, 253.187, 294.431, 320.239, 325.414, -0.907775, -0.419458, 146.039, -2.708744, 10079
