# pair_index, img_from, img_to, component_id, start_x, start_y, end_x, end_y, centroid_x, centroid_y, unit_dir_x, unit_dir_y, length_px, angle_rad, size_pixels
0, generated0.png, generated1.png, 1, 559.886, 128.614, 127.442, 305.359, 350.187, 214.321, -0.925670, 0.378332, 467.169, 2.753599, 104279
1, generated1.png, generated2.png, 1, 434.989, -40.697, 711.479, 387.242, 575.072, 176.117, 0.542682, 0.839938, 509.489, 0.997170, 126620
2, generated2.png, generated3.png, 1, 370.884, 72.978, -20.474, 332.075, 137.546, 227.459, -0.833825, 0.552029, 469.352, 2.556797, 52835
3, generated3.png, generated4.png, 1, 764.003, 255.886, 353.521, 69.913, 572.908, 169.309, -0.910875, -0.412681, 450.645, -2.716197, 72164
4, generated4.png, generated5.png, 1, 504.654, 60.396, 53.463, 180.467, 265.108, 124.144, -0.966366, 0.257169, 466.894, 2.881501, 42490
5, generated5.png, generated6.png, 1, 178.570, 336.651, -17.863, 254.943, 75.504, 293.780, -0.923308, -0.384060, 212.748, -2.747404, 21713
6, generated6.png, generated7.png, 1, 749.799, 89.107, 279.939, 82.008, 523.218, 85.684, -0.999886, -0.015106, 469.913, -3.126486, 52009
7, generated7.png, generated8.png, 1, 504.554, 80.108, 207.515, 102.592, 357.862, 91.212, -0.997147, 0.075479, 297.889, 3.066042, 22613
8, generated8.png, generated9.png, 1, 750.367, 189.901, 475.432, 286.233, 609.471, 239.268, -0.943746, 0.330671, 291.323, 2.804578, 27149
9, generated9.png, generated10.png, 1, 126.194, -8.152, 161.993, 142.002, 143.391, 63.978, 0.231916, 0.972736, 154.363, 1.336750, 17071
10, generated10.png, generated11.png, 1, 501.942, 255.071, 363.854, 251.193, 431.922, 253.105, -0.999606, -0.028070, 138.142, -3.113519, 7443
11, generated11.png, generated12.png, 1, 753.086, 47.408, 334.081, 8.134, 586.489, 31.792, -0.995636, -0.093323, 420.841, -3.048134, 23458
12, generated12.png, generated13.png, 1, 10.575, -6.313, 95.195, 135.435, 55.785, 69.419, 0.512583, 0.858638, 165.085, 1.032606, 14285
13, generated13.png, generated14.png, 1, 376.129, 213.143, 178.203, 267.085, 278.686, 239.700, -0.964811, 0.262943, 205.145, 2.875521, 16268
14, generated14.png, generated15.png, 1, 188.120, 207.431, 55.082, 179.347, 121.538, 193.376, -0.978438, -0.206542, 135.970, -2.933554, 8261
15, generated15.png, generated16.png, 1, 750.207, 290.441, 501.567, 337.028, 633.280, 312.350, -0.982896, 0.184162, 252.966, 2.956374, 13136
16, generated16.png, generated17.png, 1, 508.304, 93.757, 372.816, 104.728, 440.265, 99.266, -0.996738, 0.080707, 135.932, 3.060798, 8900
17, generated17.png, generated18.png, 1, 206.066, 196.159, 38.854, 192.256, 122.050, 194.198, -0.999728, -0.023337, 167.258, -3.118253, 12608
18, generated18.png, generated19.png, 1, 443.338, 158.954, 480.010, 346.113, 460.191, 244.965, 0.192282, 0.981340, 190.718, 1.377309, 12812
19, generated19.png, generated20.png, 1, 196.427, 56.789, 36.538, 135.138, 117.397, 95.515, -0.897984, 0.440029, 178.053, 2.685962, 10519
20, generated20.png, generated21.png, 1, 346.321, 336.458, 175.450, 358.793, 273.778, 345.940, -0.991565, 0.129610, 172.325, 3.011617, 4873
21, generated21.png, generated22.png, 1, 749.340, 161.535, 511.921, 172.259, 629.094, 166.967, -0.998981, 0.045123, 237.661, 3.096455, 9437
22, generated22.png, generated23.png, 1, 389.145, 95.462, 208.676, 78.440, 298.819, 86.943, -0.995582, -0.093900, 181.270, -3.047554, 8187
23, generated23.png, generated24.png, 1, 488.827, 347.067, 419.595, 349.083, 455.252, 348.045, -0.999576, 0.029114, 69.262, 3.112475, 2010
